Naive Bayes
Accuracy	Precision(a)	Precision(b)	Recall(a)	Recall(b)
0.5805		0.571810883	0.591581342	0.641		0.52
0.6045		0.594399277	0.617021277	0.658		0.551
0.589		0.574414716	0.610696517	0.687		0.491
0.604		0.588435374	0.626213592	0.692		0.516
0.608		0.594570928	0.625874126	0.679		0.537
0.604		0.603792415	0.604208417	0.605		0.603
0.6155		0.602666667	0.632		0.678		0.553
0.618309155	0.611687088	0.625799574	0.649		0.587587588
0.6185		0.6		0.645398773	0.711		0.526
0.614807404	0.601410935	0.632369942	0.682		0.547547548

Decision Tree
Accuracy	Precision(a)	Precision(b)	Recall(a)	Recall(b)
0.586		0.585657371	0.586345382	0.588		0.584
0.5895		0.588351431	0.590678825	0.596		0.583
0.596		0.592485549	0.5997921	0.615		0.577
0.5805		0.581395349	0.579624135	0.575		0.586
0.6005		0.597857838	0.603288798	0.614		0.587
0.604		0.597928437	0.6108742	0.635		0.573
0.5915		0.587059943	0.596417281	0.617		0.566
0.5975		0.592067989	0.603613177	0.627		0.568
0.591		0.590818363	0.591182365	0.592		0.59
0.5975		0.591036415	0.604951561	0.633		0.562
0.586		0.585657371	0.586345382	0.588		0.584

SVM
Accuracy	Precision(a)	Precision(b)	Recall(a)	Recall(b)
0.6145		0.604757548	0.626240353	0.661		0.568
0.6125		0.602179837	0.625139043	0.663		0.562
0.615		0.603603604	0.629213483	0.67		0.56
0.6265		0.615736505	0.639470783	0.673		0.58
0.6255		0.614402917	0.638981174	0.674		0.577
0.616		0.608007449	0.625269978	0.653		0.579
0.63		0.617753623	0.645089286	0.682		0.578
0.637		0.624545455	0.652222222	0.687		0.587
0.632		0.621996303	0.64379085	0.673		0.591
0.6325		0.618834081	0.649717514	0.69		0.575
